Song name,Patterns,Patterns.1,Patterns.2,Patterns.3,Patterns.4,Labeler,Accuracy
Masterplan,12th Split-Jump-Trills,12th Mini-Jacks,12th One-Hand-Trills,12th Jump-Streams,12th Anchors,storn42,Uncertain
Metal Invasion,16th Hand-Streams,8th Anchors,16th Jump-Streams,16th Mini-Jacks,16th Jump-Trills,storn42,Uncertain
Mine,8th Jacks,16th Jump-Gluts,16th Anchors,16th Hand-Jacks,16th Split-Jump-Jacks,storn42,Uncertain
Never Wrong,16th Jacks,16th Hand-Gluts,16th Hand-Jacks,16th Anchors,16th Jump-Gluts,storn42,Uncertain
Open Your Eyes,16th Split-Jump-Jacks,16th Jump-Gluts,,,,storn42,Uncertain
Prayer of the Refugee,64th Flams,8th Jacks,16th Jump-Streams,,,storn42,Uncertain
Propane Nightmares [Celldweller Remix],8th Jacks,8th Jump-Gluts,24th Bursts,,,storn42,Uncertain
Ready To Fall,16th Jump-Streams,16th Trills,8th Jacks,8th Jump-Gluts,,storn42,Uncertain
Rumors Of My Demise Have Been Greatly Exaggerated,16th Jump-Streams,,,,,storn42,Uncertain
Sail On,16th Split-Jump-Jacks,16th Jump-Gluts,16th Jacks,48th Bursts,,storn42,Uncertain
Save Our Last Goodbye,8th Jacks,8th Anchors,Jump-Gluts,,,storn42,Uncertain
Savior,8th Jacks,8th Anchors,8th Split-Jump-Jacks,,,storn42,Uncertain
Shapeshifter [feat. Styles Of Beyond],16th Streams,,,,,storn42,Uncertain
Sibling Rivalry,16th Hand-Streams,8th Split-Jump-Jacks,8th Jacks,,,storn42,Uncertain
Spirit Never Die,16th Mini-Jacks,16th Hand-Streams,16th One-Hand-Trills,16th Trills,16th Jump-Streams,storn42,Uncertain
Stricken [Heavy],8th Jump-Gluts,8th Split-Jump-Jacks,8th Jacks,8th Anchors,16th Streams,storn42,Uncertain
Stricken [Light],8th Mini-Jacks,8th Streams,,,,storn42,Uncertain
The Light,16th Streams,8th Jacks,,,,storn42,Uncertain
Thornmail,48th Trills,16th Jump-Streams,16th Jump-Gluts,16th Hand-Jacks,16th Jacks,storn42,Uncertain
Counting Snow,Flams,,,,,MarcusHawkins,Certain
Hate Everyone,32nd Bursts,8th Hand-Jacks,16th Mini-Jacks,,,Laplace,Certain
cat1 cat2 and cat3,16th Hand-Streams,32nd Rolls,16th Jump-Streams,,,Laplace,Uncertain
Shut Your Mouth,16th Jump-Gluts,32nd Bursts,16th Jacks,,,Laplace,Certain
NULCTRL,32nd Bursts,32nd Flams,12th Jump-Gluts,,,Laplace,Certain
Angel Wing,8th Hand-Jacks,8th Hand-Streams,16th Bursts,,,Laplace,Certain
Gamma Stop Sending Me High Quality Rips,16th One-Hand-Trills,16th Jump-Streams,32nd Bursts,,,Ghost_Medley,Certain
EBONY & IVORY [Standard],Irregular Trills,16th Jump-Streams,,,,Ghost_Medley,Uncertain
Marble Mountain,24th One-Hand-Trills,32nd Rolls,,,,Ghost_Medley,Certain
Snake Devil [Oni],Streams,8th Mini-Jacks,,,,Ghost_Medley,Certain
If Trees Could Speak,16th Jump-Streams,32nd Bursts,,,,Ghost_Medley,Uncertain
Autoprocess,8th Split-Jump-Jacks,16th Trills,16th Split-Jump-Trills,,,Ghost_Medley,Certain
Ants Of The Sky,16th Jump-Jacks,16th Jacks,12th Jump-Streams,,,Ghost_Medley,Certain
Title Theme (Bean Dreams),16th Jump-Streams,,,,,Ghost_Medley,Certain
South For Winter,16th Jump-Gluts,Flams,,,,Ghost_Medley,Certain
Giselle,16th Jump-Gluts,32nd Trills,48th Bursts,,,Ghost_Medley,Certain
Seppuku,32nd Bursts,16th Jump-Streams,,,,Ghost_Medley,Certain
Kirlian Voyager,32nd,16th Jump-Streams,,,,Ghost_Medley,Certain
!!!Chaos Time!!! (Cut Edition),16th Jump-Streams,32nd Bursts,16th Split-Jump-Jacks,16th Trills,32nd Rolls,Ghost_Medley,Certain
PhonDrome! [Oni],Jump-Gluts,48th Rolls,16th Mini-Jacks,32nd Trills,,Ghost_Medley,Certain
Sakura Fubuki (Arrange Ver),16th Jump-Streams,16th Mini-Jacks,color theory,,,Ghost_Medley,Uncertain
100 Hours of Regrets,32nd Bursts,12th Jump-Gluts,16th Jump-Streams,,,Ghost_Medley,Certain
Atmosphere,32nd Jump-Streams,,,,,Ghost_Medley,Certain
Gamma Stop Giving Me Hard Bags,16th Jump-Streams,32nd Bursts,12th Jump-Jacks,32nd Rolls,,Ghost_Medley,Certain
Robert Desire,16th Trills,8th Jump-Streams,,,,Ghost_Medley,Certain
zZz,48th Rolls,16th Jump-Streams,,,,Ghost_Medley,Certain
Nihil Descent,16th Split-Jump-Jacks,32nd Bursts,16th Jacks,,,Ghost_Medley,Certain
Tengaku (Instrumental),32nd Streams,16th Jump-Gluts,16th Mini-Jacks,,,Ghost_Medley,Certain
theyaremanycolors,16th Split-Jump-Trills,32nd Bursts,16th Jump-Streams,color theory,,Ghost_Medley,Uncertain
EBONY & IVORY [Heavy],48th Rolls,24th Trills,16th Jump-Streams,24th Bursts,,Ghost_Medley,Uncertain
Banban Cooking (Short Cut),16th Jump-Jacks,,,,,Ghost_Medley,Certain
Curry Dayo!,16th Jump-Streams,32nd Bursts,,,,Ghost_Medley,Certain
Giselle (full act),32nd Trills,16th Jump-Gluts,48th Bursts,,,Ghost_Medley,Certain
Human Convention,16th Jump-Gluts,16th Mini-Jacks,16th Jump-Streams,,,Ghost_Medley,Certain
Upshift,16th Jacks,16th Jump-Gluts,32nd Bursts,,,Ghost_Medley,Certain
"Out of Sight, Out of Mind (8-bit) [Standard] ",16th Jump-Streams,16th Streams,,,,Ghost_Medley,Certain
GAMEBOY,24th Jump-Streams,,,,,Ghost_Medley,Uncertain
timer,16th Jump-Streams,,,,,Laplace,Certain
Starlight [Televisor],16th Jump-Jacks,16th Split-Jump-Trills,,,,Laplace,Certain
The Whip,32nd Rolls,32nd Bursts,16th Jump-Jacks,16th Jacks,,Laplace,Certain
ORIENTAL SEA!!,16th Split-Jump-Jacks,24th Bursts,16th Jump-Streams,Polyrhythms,,Laplace,Uncertain
Makiba,16th Jump-Streams,16th Mini-Jacks,,,,Laplace,Uncertain
Fox Tales,Bursts,16th jumpstream,24th stream,16th Mini-Jacks,32nd Rolls,Pizza69,Certain
Headless Beast,16th Trills,8th jumpstream,8th Jacks,,,Pizza69,Certain
Boss of Nova,16th jumpgluts,16th Jump-Jacks,16th jumpstream,32nd Rolls,,Pizza69,Certain
Swamp Thing,32nd stream,Bursts,16th Jacks,,,Pizza69,Certain
Pictured as Perfect,32nd jumpstream,64th Rolls,16th Jacks,,,Pizza69,Certain
Fury,16th jumpgluts,16th Jacks,32nd Bursts,,,Pizza69,Certain
Son Of Robot,16th Jacks,16th Jump-Streams,32nd Streams,,,Pizza69,Certain
Tap on Damen,8th jumpstream,Bursts  Irregular,,,,Pizza69,Certain
Marianas Trench,8th Jump-Jacks,16th Jacks,16th jumpgluts,,,Pizza69,Certain
Q.E.,48th Bursts,32nd Streams,16th Jacks,16th jumpgluts,Mini-Jacks,Pizza69,Certain
The Basement Guitarist,12th Jump-Streams,Bursts   Irregular,,,,Pizza69,Certain
Mysterious Wall,Bursts,4th jumpstream,Flams,,,Pizza69,Certain
Epileptic Crisis [Heavy],16th  Jump-Trills,16th Jump-Trills,32nd Bursts,12th jumpgluts,,Pizza69,Certain
Prisoner,24th Trills,16th jumpgluts,20th jumpstream,,,Pizza69,Certain
Bibbidi Poopidi Scoop,24th OHTs,32nd jumpstream,32nd Trills,,,Pizza69,Certain
Gruesome Things,32nd stream,24th Trills,16th Jacks,16th jumpgluts,,Pizza69,Certain
Exam Cram [Oni],32nd light jumpstream,32nd stream,16th Jacks,,,Pizza69,Certain
Critical.Error,16th Jump-Jacks,16th Hand-Jacks,24th handstream,Irregular Polyrhythms,32nd stream,Pizza69,Certain
Adcar,24th stream,48th Bursts,Polyrhythms,16th Mini-Jacks,,Pizza69,Certain
Hello (BPM) 2021,12th stream,8th jumpstream,Bursts,4th Hand-Jacks,,Pizza69,Certain
The Ever Increasing Death Toll of Birds In My Life,32nd stream,Bursts,16th Jacks,,,Pizza69,Certain
Rave 3,16th Mini-Jacks,16th dense jumpstream,32nd Rolls,,,Pizza69,Certain
Rationalist,16th Jump-Jacks    one-hed),16th Mini-Jacks,16th dense jumpstream,,,Pizza69,Certain
Ideal Ratio 4-1-2.5 [Heavy],32nd stream,16th Jacks,,,,Pizza69,Certain
One Big Beautiful Sound [Explicit],32nd Bursts,24th swing jumpstream,,,,Pizza69,Certain
Evanescent,16th handstream,Bursts,16th Mini-Jacks,,,Pizza69,Certain
Nisemono [Full Version],16th stream,16th dense jumpstream,16th Jump-Jacks,Polyrhythms,24th Bursts,Pizza69,Certain
Real Ultimate Power,16th jumpgluts,16th Mini-Jacks,32nd Bursts,,,Pizza69,Certain
You Show,32nd Streams,16th Mini-Jacks,,,,Pizza69,Certain
A Raw Understanding,32nd Streams,16th jumpgluts,16th Mini-Jacks,Bursts,,Pizza69,Certain
Cold Storage,16th jumpstream,16th Mini-Jacks,Bursts,24th,,Pizza69,Certain
Comatose State,32nd Rolls,24th Split-Rolls,16th jumpstream,8th Jacks,,Pizza69,Certain
Qallupiluk,4th Jump-Streams,4th Streams,,,,Rapta,Certain
"Form, Part 2",8th Streams,4th Jump-Streams,,,,Rapta,Certain
Horsepower (Remix),8th Bursts,4th Jump-Streams,,,,Rapta,Certain
Awake,8th Streams,4th Jump-Streams,16th Flams,,,Rapta,Uncertain
Dystopia 2077,4th Jacks,8th Bursts,,,,Rapta,Certain
Latnemurtsni,8th Trills,8th Streams,4th Jump-Streams,,,Rapta,Certain
Everything Black,4th Hand-Streams,16th Bursts,8th Mini-Jacks,8th Trills,,Rapta,Certain
Killswitch,4th Bursts,4th Jacks,,,,Rapta,Uncertain
Good Computers,8th Hand-Streams,8th Bursts,,,,Rapta,Certain
Moneko,16th Bursts,8th Jacks,,,,Rapta,Certain
Sugar Rush,8th Anchors,24th Jacks,8th Jump-Gluts,16th Streams,,Rapta,Uncertain
OBLIVION,8th Hand-Jacks,8th Hand-Streams,16th Bursts,8th Mini-Jacks,,Rapta,Certain
Soda,24th Jump-Gluts,24th Mini-Jacks,24th Jump-Streams,,,Rapta,Certain
Forever,16th Split-Jump-Jacks,48th Bursts,16th Jump-Streams,8th Anchors,,Rapta,Certain
It's All Over,16th Jump-Streams,16th Mini-Jacks,48th Rolls,,,Rapta,Uncertain
Starchaser,16th Jacks,16th Mini-Jacks,8th Jump-Streams,,,Psychotik, Certain
Boy & Bear,16th Mini-Jacks,16th Bursts,8th Jump-Streams,,,Psychotik, Certain
The Great Pumpkin Tapes,48th Bursts,48th Rolls,Irregular Flams,24th Gallops ,,Psychotik, Certain
Christmas Ain't The Same,16th Jump-Streams,8th Anchors,,,,Psychotik, Certain
Jingle Bells (Bass),32nd Rolls,8th Jump-Streams,8th Jump-Jacks,12th Mini-Jacks,12th Gallops ,Psychotik, Certain
Fake Santa,12th Hand-Streams,12th/24th Gallops,12th Jump-Streams,12th Jump-Trills,24th Stream,Psychotik, Certain
Final Boss,16th Jacks,16th Jump-Jacks,32nd Rolls,16th Jump-Trills,16th Jump-Gluts,Psychotik, Certain
POP/STARS,Irregular Bursts,8th Jump-Gluts,8th Anchors,32nd Rolls,16th Jump-Jacks,Psychotik, Certain
Ricochet,24th Gallops,24th Jump-Streams,48th Flams,12th Polyrhythms,,Psychotik, Certain
"Make Eggs, Eat Eggs",24th Bursts,64th Gallops,32nd Flams,16th Mini-Jacks,,Psychotik, Certain
hARPIES15HP,32nd One-Hand-Trills,16th Jump-Streams,32nd Trills,8th Jump-Jacks,Irregular Rolls,Psychotik, Certain
Silly Videogame Bleep Bloops,32nd Rolls,32nd Split-Rolls,32nd Trills,16th Mini-Jacks,24th Gallops ,Psychotik, Certain
Dracula Man X2 Alpha Turbo,24th Streams,16th Jump-Streams,16th Mini-Jacks,24th Trills,24th Jump-Trills,Psychotik, Certain
SAIKOU,32nd Bursts,16th Jump-Streams,16th Mini-Jacks,12th/24th Gallops,24th Streams,Psychotik, Certain
TURBO [Tokyo Machine] [Standard],16th Streams,24th Bursts,16th Trills,,,Psychotik, Certain
Oedo Hop,24th Gallops,24th Bursts,12th Jacks,,,Psychotik, Certain
Hornet,24th Streams,Irregular Bursts,12th Jump-Gluts,12th Jump-Jacks,24th Anchors,Psychotik, Certain
Twilight,16th Streams,8th Jump-Jacks,16th,,,Psychotik, Certain
Opia,16th Jump-Streams,24th Polyrhythms,64th Flams,,,Psychotik, Certain
Brostep Strikes Back,16th Mini-Jacks,16th Jump-Trills,16th Streams,,,Psychotik, Certain
Blackmagik Blazing,16th Split-Jump-Trills,24th Bursts,16th Jump-Gluts,32nd Hand-Streams,12th Chord-Jacks,Psychotik, Certain
Morning Run,32nd Stream,Flams,16th Mini-Jacks,,,Psychotik, Certain
Lawn Wake III,Irregular Bursts,16th Jump-Streams,16th Mini-Jacks,16th Jump-Jacks,Irregular Rolls,Psychotik, Certain
Fett's Vette v2,16th Jump-Streams,16th Mini-Jacks,Irregular Bursts,,,Psychotik, Certain
Right Now BLUE Ver.,24th Gallops,16th Mini-Jacks,16th Jump-Streams,24th Bursts,,Psychotik, Certain
Platforms & Pitfalls,8th Jump-Streams,16th Bursts,,,,Psychotik, Certain
Smoked Turkey Rag,16th Jump-Streams,16th Mini-Jacks,16th Jump-Trills,,,Psychotik, Certain
Audio Avenue,16th Jump-Streams,16th Mini-Jacks,16th Streams,,,Psychotik, Certain
One Look,16th Streams,8th Jump-Streams,,,,Psychotik, Certain
Running in the 90's,16th Jump-Streams,16th Trills,12th Gallops,12th Mini-Jacks,,Psychotik, Certain
Flight of the Bumble Bee [MonstDeath],16th Split-Jump-Trills,16th Jump-Streams,16th Anchors,16th Jump-Trills,,Psychotik, Certain
Kreutzer,32nd Rolls,24th Streams,16th Jump-Streams,16th Hand-Streams,16th Mini-Jacks,Psychotik, Certain
hatsu miku time,16th Jump-Jacks,16th Jacks,32nd Bursts,16th Streams,,Psychotik, Certain
Roundtable Rival,24th Streams,24th Bursts,16th Jump-Streams,16th Mini-Jacks,,Psychotik, Certain
life flashes before weeb eyes,16th Jump-Streams,16th Split-Jump-Trills,16th Mini-Jacks,Irregular Bursts,Irregular Rolls,Psychotik, Certain
Ordine,Irregular Trills,48th Bursts,16th Mini-Jacks,24th Polyrhythms,,Psychotik, Certain
Synth Synth Synth,12th Jump-Streams,12th Gallops,12th One-Hand-Trills,,,Psychotik, Certain
Live at the Sandopolis,Irregular 24th Streams,32nd Bursts,16th Jump-Jacks,16th Mini-Jacks,24th Polyrhythms,Psychotik, Certain
Dawgs In Da House,24th Streams,16th Jump-Streams,16th One-Hand-Trill ,,,Psychotik, Certain
JINGLE BELLS,64th Gallops,8th Jump-Gluts,16th Bursts,,,Psychotik, Certain
Bad Apple!!,24th Streams,16th Jump-Streams,12th Jump-Jacks,32nd Bursts,,Psychotik, Certain
Blend W,16th Jump-Streams,32nd Bursts,16th Mini-Jacks,,,Psychotik, Certain
Crab Rave,16th Jump-Streams,16th Trills,,,,Psychotik, Certain
Kababies,Irregular Rolls,16th Jump-Streams,32nd Bursts,16th Mini-Jacks,16th Jump-Trills,Psychotik, Certain
BUBBLES,24th Bursts,24th Streams,16th Mini-Jacks,16th Jump-Streams,,Psychotik, Certain
PYROMANIA,32nd Bursts,16th Jump-Streams,16th Mini-Jacks,8th Hand-Jacks,64th Roll ,Psychotik, Certain
A Tiny Spaceship's Final Mission,16th Jump-Streams,24th Rolls,24th Bursts,,,Psychotik, Certain
Last Summer,16th Jump-Streams,16th Streams,32nd Bursts,16th Mini-Jacks,,Psychotik, Certain
UR+ MusicEater LV99,12th Jump-Jacks,24th Bursts,16th Jump-Streams,16th Mini-Jacks,48th Streams,Psychotik, Certain
CO5M1C R4ILR0AD,12th Polyrhythms,16th Jump-Stream,32nd Rolls,12th Jump-Gluts,,Psychotik, Certain
Kadinchey,16th Jump-Streams,16th Trill,8th Anchors,8th Jump-Gluts,,Psychotik, Certain
Micro Media Broth,24th Polyrhythms,16th Jump-Gluts,24th Bursts,16th Mini-Jacks,16th Jump-Streams,Psychotik, Certain
Apocaliptix,24th Streams,16th Jump-Streams,16th Jump-Trills,24th Bursts,,Psychotik, Certain
Mario Overworld (Super Mario Remix),24th Gallops,24th Bursts,12th Polyrhythms,,,Psychotik, Certain
ROCK IT,64th Gallops,32nd Bursts,16th Jump-Streams,64th Flams,,Psychotik, Certain
Invenzione No. 3N&3R: Sonatina for a Dying Lord,24th Bursts,12th Jump-Streams,24th Polyrhythms,,,Psychotik, Certain
